"soc","industry_code"
"00-0000","TE1000"
"11-0000","TE1000"
"11-1000","TE1000"
"11-1011","TE1000"
"11-1021","TE1000"
"11-1031","TE1000"
"11-2000","TE1000"
"11-2011","TE1000"
"11-2020","TE1000"
"11-2021","TE1000"
"11-2022","TE1000"
"11-2030","TE1000"
"11-2032","TE1000"
"11-2033","TE1000"
"11-3000","TE1000"
"11-3010","TE1000"
"11-3012","TE1000"
"11-3013","TE1000"
"11-3021","TE1000"
"11-3031","TE1000"
"11-3051","TE1000"
"11-3061","TE1000"
"11-3071","TE1000"
"11-3111","TE1000"
"11-3121","TE1000"
"11-3131","TE1000"
"11-9000","TE1000"
"11-9013","TE1000"
"11-9021","TE1000"
"11-9030","TE1000"
"11-9031","TE1000"
"11-9032","TE1000"
"11-9033","TE1000"
"11-9039","TE1000"
"11-9041","TE1000"
"11-9051","TE1000"
"11-9070","TE1000"
"11-9071","TE1000"
"11-9072","TE1000"
"11-9081","TE1000"
"11-9111","TE1000"
"11-9121","TE1000"
"11-9131","TE1000"
"11-9141","TE1000"
"11-9151","TE1000"
"11-9161","TE1000"
"11-9170","TE1000"
"11-9171","TE1000"
"11-9179","TE1000"
"11-9199","TE1000"
"13-0000","TE1000"
"13-1000","TE1000"
"13-1011","TE1000"
"13-1020","TE1000"
"13-1030","TE1000"
"13-1031","TE1000"
"13-1032","TE1000"
"13-1041","TE1000"
"13-1051","TE1000"
"13-1070","TE1000"
"13-1071","TE1000"
"13-1074","TE1000"
"13-1075","TE1000"
"13-1080","TE1000"
"13-1081","TE1000"
"13-1082","TE1000"
"13-1111","TE1000"
"13-1121","TE1000"
"13-1131","TE1000"
"13-1141","TE1000"
"13-1151","TE1000"
"13-1161","TE1000"
"13-1199","TE1000"
"13-2000","TE1000"
"13-2011","TE1000"
"13-2020","TE1000"
"13-2031","TE1000"
"13-2041","TE1000"
"13-2050","TE1000"
"13-2051","TE1000"
"13-2052","TE1000"
"13-2053","TE1000"
"13-2054","TE1000"
"13-2061","TE1000"
"13-2070","TE1000"
"13-2071","TE1000"
"13-2072","TE1000"
"13-2080","TE1000"
"13-2081","TE1000"
"13-2082","TE1000"
"13-2099","TE1000"
"15-0000","TE1000"
"15-1200","TE1000"
"15-1210","TE1000"
"15-1211","TE1000"
"15-1212","TE1000"
"15-1221","TE1000"
"15-1230","TE1000"
"15-1231","TE1000"
"15-1232","TE1000"
"15-1240","TE1000"
"15-1241","TE1000"
"15-1242","TE1000"
"15-1243","TE1000"
"15-1244","TE1000"
