One occupation for multiple industries,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation: Data Scientists (SOC code 15-2051),,,,,,,,,,,,,,,
Period: May 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2)
"Cross-industry, Private, Federal, State, and Local Government (00-0000)","192,710",1.2,$57.23,"$119,040",0.4,$29.36,$38.37,$51.93,$70.99,$88.51,"$61,070","$79,810","$108,020","$147,670","$184,090"
"Cross-industry, Private Ownership Only (00-0001)","184,720",1.2,$57.87,"$120,360",0.5,$29.56,$38.71,$52.80,$72.23,$89.42,"$61,470","$80,510","$109,820","$150,230","$186,000"
Sector 21 - Mining (21---22),360,16.8,$53.45,"$111,180",8.1,$24.01,$32.36,$50.52,$71.03,$78.73,"$49,940","$67,320","$105,090","$147,740","$163,760"
Oil and Gas Extraction (21-1000),200,27.1,$54.35,"$113,060",16.7,$23.10,$24.01,$51.07,$76.91,$88.94,"$48,040","$49,940","$106,220","$159,970","$184,990"
Oil and Gas Extraction (21-1100),200,27.1,$54.35,"$113,060",16.7,$23.10,$24.01,$51.07,$76.91,$88.94,"$48,040","$49,940","$106,220","$159,970","$184,990"
Mining (except Oil and Gas) (21-2000),60,27.0,$53.00,"$110,240",14.3,$34.07,$39.87,$47.82,$68.69,$71.33,"$70,870","$82,930","$99,470","$142,870","$148,360"
Metal Ore Mining (21-2200),(8) -,(8) -,$40.22,"$83,650",0.7,$34.07,$34.07,$39.87,$41.48,$47.82,"$70,870","$70,870","$82,930","$86,270","$99,470"
Support Activities for Mining (21-3000),100,17.5,$51.94,"$108,020",5.8,$31.00,$34.46,$50.52,$65.27,$74.74,"$64,490","$71,670","$105,090","$135,750","$155,460"
Support Activities for Mining (21-3100),100,17.5,$51.94,"$108,020",5.8,$31.00,$34.46,$50.52,$65.27,$74.74,"$64,490","$71,670","$105,090","$135,750","$155,460"
Sector 22 - Utilities (22---23),810,11.5,$52.35,"$108,880",3.9,$31.20,$38.46,$48.53,$64.00,$77.51,"$64,900","$80,000","$100,940","$133,110","$161,210"
Utilities (22-1000),810,11.5,$52.35,"$108,880",3.9,$31.20,$38.46,$48.53,$64.00,$77.51,"$64,900","$80,000","$100,940","$133,110","$161,210"
"Electric Power Generation, Transmission and Distribution (22-1100)",590,13.3,$51.27,"$106,640",4.8,$31.10,$38.76,$48.55,$62.15,$76.92,"$64,690","$80,610","$100,990","$129,270","$160,000"
Fossil Fuel Electric Power Generation (22-1112),140,23.4,$62.08,"$129,130",4.4,$37.61,$47.59,$64.05,$76.95,$77.66,"$78,240","$98,990","$133,220","$160,050","$161,530"
Natural Gas Distribution (22-1200),210,14.4,$55.85,"$116,170",5.7,$31.22,$38.02,$48.31,$72.58,$87.17,"$64,940","$79,070","$100,490","$150,970","$181,320"
Sector 23 - Construction (23---24),440,6.3,$39.95,"$83,100",4.4,$22.50,$27.31,$34.42,$49.23,$66.22,"$46,800","$56,800","$71,600","$102,390","$137,740"
Construction of Buildings (23-6000),90,13.5,$48.82,"$101,540",8.8,$29.42,$29.50,$41.49,$61.68,$76.27,"$61,190","$61,360","$86,290","$128,300","$158,630"
Residential Building Construction (23-6100),50,21.0,$36.93,"$76,810",6.6,$29.42,$29.42,$35.61,$39.57,$48.08,"$61,190","$61,190","$74,080","$82,310","$100,000"
Nonresidential Building Construction (23-6200),40,23.0,$65.65,"$136,550",7.5,$29.27,$58.57,$62.95,$76.27,$96.15,"$60,880","$121,820","$130,940","$158,630","$200,000"
Heavy and Civil Engineering Construction (23-7000),170,9.9,$31.26,"$65,030",2.7,$20.09,$23.97,$27.52,$36.42,$51.94,"$41,780","$49,860","$57,230","$75,750","$108,030"
