"onet_soc","commodity_code","hot_technology","in_demand"
"11-1011.00",43232202,TRUE,FALSE
"11-1011.00",43232306,FALSE,FALSE
"11-1011.00",43232201,TRUE,FALSE
"11-1011.00",43232303,FALSE,FALSE
"11-1011.00",43231601,FALSE,FALSE
"11-1011.00",43232305,FALSE,FALSE
"11-1011.00",43232306,FALSE,FALSE
"11-1011.00",43233501,FALSE,FALSE
"11-1011.00",43231602,FALSE,FALSE
"11-1011.00",43231605,FALSE,FALSE
"11-1011.00",43232403,TRUE,FALSE
"11-1011.00",43231601,FALSE,FALSE
"11-1011.00",43232102,FALSE,FALSE
"11-1011.00",43231505,FALSE,FALSE
"11-1011.00",43231505,FALSE,FALSE
"11-1011.00",43231507,FALSE,FALSE
"11-1011.00",43231507,FALSE,FALSE
"11-1011.00",43231505,FALSE,FALSE
"11-1011.00",43231505,FALSE,FALSE
"11-1011.00",43231601,TRUE,FALSE
"11-1011.00",43233501,FALSE,FALSE
"11-1011.00",43232605,FALSE,FALSE
"11-1011.00",43232106,FALSE,FALSE
"11-1011.00",43232306,TRUE,FALSE
"11-1011.00",43231602,TRUE,FALSE
"11-1011.00",43231602,FALSE,FALSE
"11-1011.00",43231602,FALSE,FALSE
"11-1011.00",43232110,TRUE,TRUE
"11-1011.00",43231604,FALSE,FALSE
"11-1011.00",43231513,TRUE,TRUE
"11-1011.00",43233501,TRUE,FALSE
"11-1011.00",43232106,TRUE,TRUE
"11-1011.00",43231507,TRUE,FALSE
"11-1011.00",43232112,FALSE,FALSE
"11-1011.00",43233513,TRUE,FALSE
"11-1011.00",43232104,TRUE,FALSE
"11-1011.00",43232605,FALSE,FALSE
"11-1011.00",43231605,FALSE,FALSE
"11-1011.00",43232605,FALSE,FALSE
"11-1011.00",43231602,FALSE,FALSE
"11-1011.00",43231602,TRUE,FALSE
"11-1011.00",43232303,FALSE,FALSE
"11-1011.00",43232408,TRUE,FALSE
"11-1011.00",43232304,FALSE,FALSE
"11-1011.00",43231601,FALSE,FALSE
"11-1011.00",43231602,TRUE,FALSE
"11-1011.00",43232102,FALSE,FALSE
"11-1011.00",43232306,TRUE,FALSE
"11-1011.00",43232705,FALSE,FALSE
"11-1011.03",43232202,TRUE,FALSE
"11-1011.03",43232102,TRUE,FALSE
"11-1011.03",43233501,FALSE,FALSE
"11-1011.03",43232107,TRUE,FALSE
"11-1011.03",43231602,FALSE,FALSE
"11-1011.03",43232306,TRUE,FALSE
"11-1011.03",43231602,FALSE,FALSE
"11-1011.03",43232110,TRUE,FALSE
"11-1011.03",43231513,TRUE,TRUE
"11-1011.03",43233501,TRUE,FALSE
"11-1011.03",43232106,TRUE,FALSE
"11-1011.03",43231507,TRUE,FALSE
"11-1011.03",43233513,TRUE,FALSE
"11-1011.03",43232104,TRUE,FALSE
"11-1011.03",43232303,TRUE,FALSE
"11-1011.03",43231602,TRUE,FALSE
"11-1011.03",43232108,FALSE,FALSE
"11-1011.03",43232306,FALSE,FALSE
"11-1011.03",43232314,TRUE,FALSE
"11-1011.03",43233502,FALSE,FALSE
"11-1011.03",43232705,FALSE,FALSE
"11-1021.00",43232303,FALSE,FALSE
"11-1021.00",43232303,FALSE,FALSE
"11-1021.00",43232202,TRUE,FALSE
"11-1021.00",43232102,TRUE,FALSE
"11-1021.00",43232102,TRUE,FALSE
"11-1021.00",43231505,FALSE,FALSE
"11-1021.00",43232306,FALSE,FALSE
"11-1021.00",43232306,TRUE,FALSE
"11-1021.00",43232303,FALSE,FALSE
"11-1021.00",43232304,TRUE,FALSE
"11-1021.00",43232103,FALSE,FALSE
"11-1021.00",43232106,FALSE,FALSE
"11-1021.00",43233004,TRUE,FALSE
"11-1021.00",43231507,TRUE,FALSE
"11-1021.00",43232201,TRUE,FALSE
"11-1021.00",43232604,TRUE,FALSE
"11-1021.00",43232303,FALSE,FALSE
"11-1021.00",43232303,FALSE,FALSE
"11-1021.00",43232306,FALSE,FALSE
"11-1021.00",43232108,FALSE,FALSE
"11-1021.00",43232901,FALSE,FALSE
"11-1021.00",43232612,FALSE,FALSE
"11-1021.00",43232612,FALSE,FALSE
"11-1021.00",43232313,FALSE,FALSE
"11-1021.00",43232306,FALSE,FALSE
"11-1021.00",43232307,FALSE,FALSE
"11-1021.00",43231602,FALSE,FALSE
"11-1021.00",43231604,FALSE,FALSE
"11-1021.00",43233513,FALSE,FALSE
"11-1021.00",43232610,FALSE,FALSE
"11-1021.00",43232702,FALSE,FALSE
"11-1021.00",43232104,FALSE,FALSE
"11-1021.00",43232403,TRUE,FALSE
"11-1021.00",43232107,TRUE,FALSE
"11-1021.00",43232306,FALSE,FALSE
"11-1021.00",43232103,FALSE,FALSE
"11-1021.00",43231601,FALSE,FALSE
"11-1021.00",43232510,FALSE,FALSE
"11-1021.00",43231514,FALSE,FALSE
"11-1021.00",43232307,TRUE,FALSE
"11-1021.00",43232104,TRUE,FALSE
"11-1021.00",43233513,FALSE,FALSE
"11-1021.00",43232106,FALSE,FALSE
"11-1021.00",43233504,FALSE,FALSE
"11-1021.00",43232303,FALSE,FALSE
"11-1021.00",43231514,TRUE,FALSE
"11-1021.00",43231505,FALSE,FALSE
"11-1021.00",43231505,FALSE,FALSE
"11-1021.00",43232314,FALSE,FALSE
"11-1021.00",43232902,FALSE,FALSE
"11-1021.00",43232403,FALSE,FALSE
"11-1021.00",43233501,FALSE,FALSE
"11-1021.00",43233701,FALSE,FALSE
"11-1021.00",43232605,TRUE,FALSE
"11-1021.00",43232603,FALSE,FALSE
"11-1021.00",43231601,TRUE,FALSE
"11-1021.00",43231508,FALSE,FALSE
"11-1021.00",43233004,FALSE,FALSE
"11-1021.00",43231605,FALSE,FALSE
"11-1021.00",43231605,TRUE,FALSE
"11-1021.00",43232309,FALSE,FALSE
"11-1021.00",43232107,FALSE,FALSE
"11-1021.00",43231506,FALSE,FALSE
"11-1021.00",43231514,TRUE,FALSE
"11-1021.00",43232303,FALSE,FALSE
"11-1021.00",43233205,FALSE,FALSE
"11-1021.00",43232610,FALSE,FALSE
"11-1021.00",43232306,TRUE,FALSE
"11-1021.00",43231602,TRUE,FALSE
"11-1021.00",43231602,FALSE,FALSE
"11-1021.00",43232110,TRUE,TRUE
"11-1021.00",43233501,FALSE,FALSE
"11-1021.00",43232107,FALSE,FALSE
"11-1021.00",43232705,FALSE,FALSE
"11-1021.00",43231513,TRUE,TRUE
"11-1021.00",43232104,FALSE,FALSE
"11-1021.00",43233501,TRUE,FALSE
"11-1021.00",43232106,TRUE,TRUE
"11-1021.00",43231507,TRUE,FALSE
"11-1021.00",43232112,FALSE,FALSE
"11-1021.00",43233513,TRUE,FALSE
"11-1021.00",43232306,TRUE,FALSE
"11-1021.00",43231518,TRUE,FALSE
"11-1021.00",43232402,TRUE,FALSE
"11-1021.00",43232402,TRUE,FALSE
"11-1021.00",43233004,TRUE,FALSE
"11-1021.00",43232104,TRUE,FALSE
"11-1021.00",43232314,FALSE,FALSE
"11-1021.00",43232605,FALSE,FALSE
"11-1021.00",43232705,FALSE,FALSE
"11-1021.00",43233501,FALSE,FALSE
"11-1021.00",43232801,FALSE,FALSE
"11-1021.00",43231602,FALSE,FALSE
"11-1021.00",43232303,FALSE,FALSE
"11-1021.00",43233205,FALSE,FALSE
"11-1021.00",43232314,FALSE,FALSE
"11-1021.00",43232306,TRUE,FALSE
"11-1021.00",43231604,FALSE,FALSE
"11-1021.00",43232303,FALSE,FALSE
"11-1021.00",43231602,FALSE,FALSE
"11-1021.00",43231602,FALSE,FALSE
"11-1021.00",43231602,FALSE,FALSE
"11-1021.00",43231602,TRUE,FALSE
"11-1021.00",43231602,FALSE,FALSE
"11-1021.00",43231507,TRUE,FALSE
"11-1021.00",43233004,FALSE,FALSE
"11-1021.00",43231505,FALSE,FALSE
"11-1021.00",43231605,FALSE,FALSE
"11-1021.00",43231505,FALSE,FALSE
"11-1021.00",43232611,FALSE,FALSE
"11-1021.00",43232311,TRUE,FALSE
"11-1021.00",43232401,TRUE,FALSE
"11-1021.00",43232314,FALSE,FALSE
"11-1021.00",43232310,FALSE,FALSE
"11-1021.00",43232405,TRUE,FALSE
"11-1021.00",43231507,FALSE,FALSE
"11-1021.00",43231601,FALSE,FALSE
"11-1021.00",43231604,FALSE,FALSE
"11-1021.00",43232303,TRUE,FALSE
"11-1021.00",43232303,FALSE,FALSE
"11-1021.00",43231602,FALSE,FALSE
"11-1021.00",43232305,FALSE,FALSE
"11-1021.00",43231602,TRUE,FALSE
"11-1021.00",43232605,TRUE,FALSE
"11-1021.00",43232306,FALSE,FALSE
"11-1021.00",43232103,FALSE,FALSE
"11-1021.00",43232705,FALSE,FALSE
"11-1021.00",43233004,TRUE,FALSE
"11-1021.00",43232612,FALSE,FALSE
"11-1021.00",43233513,TRUE,FALSE
"11-1021.00",43232107,FALSE,FALSE
"11-1021.00",43232303,FALSE,FALSE
"11-1021.00",43232806,TRUE,FALSE
"11-1021.00",43232605,FALSE,FALSE
"11-1021.00",43232306,TRUE,FALSE
"11-1021.00",43232303,FALSE,FALSE
"11-1021.00",43232608,FALSE,FALSE
"11-1021.00",43232314,TRUE,FALSE
"11-1021.00",43231601,FALSE,FALSE
"11-1021.00",43232304,TRUE,FALSE
"11-1021.00",43232605,TRUE,FALSE
"11-1021.00",43232303,FALSE,FALSE
"11-1021.00",43233415,FALSE,FALSE
"11-1021.00",43232303,FALSE,FALSE
"11-1021.00",43232306,TRUE,FALSE
"11-1021.00",43232103,FALSE,FALSE
"11-1031.00",43232202,TRUE,FALSE
"11-1031.00",43232112,FALSE,FALSE
"11-1031.00",43232112,FALSE,FALSE
"11-1031.00",43232106,FALSE,FALSE
"11-1031.00",43232104,FALSE,FALSE
"11-1031.00",43232110,FALSE,FALSE
"11-1031.00",43232901,FALSE,FALSE
"11-1031.00",43233502,TRUE,FALSE
"11-1031.00",43231513,FALSE,FALSE
"11-1031.00",43232104,FALSE,FALSE
"11-1031.00",43232104,FALSE,FALSE
"11-1031.00",43232902,FALSE,FALSE
"11-1031.00",43232306,FALSE,FALSE
"11-1031.00",43233502,FALSE,FALSE
"11-1031.00",43233506,FALSE,FALSE
"11-1031.00",43232108,FALSE,FALSE
"11-1031.00",43232306,TRUE,FALSE
"11-1031.00",43232110,TRUE,FALSE
"11-1031.00",43233501,FALSE,FALSE
"11-1031.00",43231513,TRUE,TRUE
"11-1031.00",43233501,TRUE,FALSE
"11-1031.00",43233513,TRUE,FALSE
"11-1031.00",43232306,TRUE,FALSE
"11-1031.00",43232402,TRUE,FALSE
"11-1031.00",43232104,TRUE,FALSE
"11-1031.00",43232104,FALSE,FALSE
"11-1031.00",43232112,FALSE,FALSE
"11-1031.00",43232112,FALSE,FALSE
"11-1031.00",43232306,TRUE,FALSE
"11-1031.00",43232705,FALSE,FALSE
"11-1031.00",43232005,FALSE,FALSE
"11-1031.00",43232104,FALSE,FALSE
"11-2011.00",43232314,FALSE,FALSE
"11-2011.00",43232202,TRUE,FALSE
"11-2011.00",43232202,FALSE,FALSE
"11-2011.00",43232103,TRUE,FALSE
"11-2011.00",43232102,TRUE,FALSE
"11-2011.00",43232107,FALSE,FALSE
"11-2011.00",43232107,FALSE,FALSE
"11-2011.00",43232102,TRUE,FALSE
"11-2011.00",43232112,TRUE,FALSE
"11-2011.00",43232112,FALSE,FALSE
"11-2011.00",43232102,TRUE,FALSE
"11-2011.00",43232103,FALSE,FALSE
"11-2011.00",43232305,FALSE,FALSE
"11-2011.00",43232103,FALSE,FALSE
"11-2011.00",43232103,FALSE,FALSE
"11-2011.00",43232103,FALSE,FALSE
"11-2011.00",43231602,FALSE,FALSE
"11-2011.00",43232605,FALSE,FALSE
"11-2011.00",43232303,FALSE,FALSE
"11-2011.00",43232303,FALSE,FALSE
"11-2011.00",43232605,FALSE,FALSE
"11-2011.00",43232202,FALSE,FALSE
"11-2011.00",43232306,FALSE,FALSE
"11-2011.00",43232408,TRUE,FALSE
"11-2011.00",43233501,FALSE,FALSE
"11-2011.00",43231507,FALSE,FALSE
"11-2011.00",43232403,TRUE,FALSE
"11-2011.00",43232107,TRUE,FALSE
"11-2011.00",43231514,FALSE,FALSE
"11-2011.00",43232605,TRUE,FALSE
"11-2011.00",43232314,FALSE,FALSE
"11-2011.00",43232403,FALSE,FALSE
"11-2011.00",43231514,TRUE,FALSE
"11-2011.00",43232408,TRUE,FALSE
"11-2011.00",43233501,FALSE,FALSE
"11-2011.00",43232107,FALSE,FALSE
"11-2011.00",43231508,FALSE,FALSE
"11-2011.00",43232408,TRUE,FALSE
"11-2011.00",43232107,FALSE,FALSE
"11-2011.00",43233501,FALSE,FALSE
"11-2011.00",43231514,TRUE,FALSE
"11-2011.00",43232303,FALSE,FALSE
"11-2011.00",43232306,TRUE,FALSE
"11-2011.00",43231602,TRUE,FALSE
"11-2011.00",43232306,FALSE,FALSE
"11-2011.00",43232110,TRUE,TRUE
"11-2011.00",43231513,TRUE,TRUE
"11-2011.00",43233501,TRUE,FALSE
"11-2011.00",43232106,TRUE,TRUE
"11-2011.00",43231507,TRUE,FALSE
"11-2011.00",43232112,FALSE,FALSE
"11-2011.00",43233513,TRUE,FALSE
"11-2011.00",43232304,TRUE,FALSE
"11-2011.00",43233004,TRUE,FALSE
"11-2011.00",43232104,TRUE,FALSE
"11-2011.00",43232303,FALSE,FALSE
"11-2011.00",43232306,FALSE,FALSE
"11-2011.00",43232309,FALSE,FALSE
"11-2011.00",43232112,FALSE,FALSE
"11-2011.00",43232605,FALSE,FALSE
"11-2011.00",43232303,TRUE,FALSE
"11-2011.00",43231602,TRUE,FALSE
"11-2011.00",43232108,FALSE,FALSE
"11-2011.00",43232107,FALSE,FALSE
"11-2011.00",43232306,FALSE,FALSE
"11-2011.00",43232314,TRUE,FALSE
"11-2011.00",43233504,FALSE,FALSE
"11-2011.00",43232103,FALSE,FALSE
"11-2011.00",43232705,FALSE,FALSE
"11-2011.00",43232605,FALSE,FALSE
"11-2011.00",43231514,FALSE,FALSE
"11-2011.00",43232107,TRUE,FALSE
"11-2011.00",43232103,FALSE,FALSE
"11-2021.00",43232202,TRUE,FALSE
"11-2021.00",43232202,FALSE,FALSE
"11-2021.00",43232402,FALSE,FALSE
"11-2021.00",43232103,TRUE,FALSE
"11-2021.00",43232102,TRUE,FALSE
"11-2021.00",43232107,FALSE,FALSE
"11-2021.00",43232102,TRUE,FALSE
"11-2021.00",43232112,TRUE,FALSE
"11-2021.00",43232102,TRUE,FALSE
"11-2021.00",43232306,FALSE,FALSE
"11-2021.00",43232306,FALSE,FALSE
"11-2021.00",43232306,FALSE,FALSE
"11-2021.00",43232306,TRUE,FALSE
"11-2021.00",43232306,TRUE,FALSE
"11-2021.00",43232304,TRUE,FALSE
"11-2021.00",43232304,TRUE,FALSE
"11-2021.00",43232304,TRUE,FALSE
"11-2021.00",43232304,FALSE,FALSE
"11-2021.00",43232304,FALSE,FALSE
"11-2021.00",43232103,FALSE,FALSE
"11-2021.00",43232106,FALSE,FALSE
"11-2021.00",43233004,TRUE,FALSE
"11-2021.00",43232313,FALSE,FALSE
"11-2021.00",43231507,TRUE,FALSE
"11-2021.00",43232201,TRUE,FALSE
"11-2021.00",43232303,FALSE,FALSE
"11-2021.00",43232402,TRUE,FALSE
"11-2021.00",43232102,TRUE,FALSE
"11-2021.00",43232408,TRUE,FALSE
"11-2021.00",43232901,FALSE,FALSE
"11-2021.00",43232306,FALSE,FALSE
"11-2021.00",43232303,FALSE,FALSE
"11-2021.00",43232305,FALSE,FALSE
"11-2021.00",43232306,FALSE,FALSE
"11-2021.00",43232306,FALSE,FALSE
"11-2021.00",43231604,FALSE,FALSE
"11-2021.00",43233513,FALSE,FALSE
"11-2021.00",43232408,TRUE,FALSE
"11-2021.00",43232408,FALSE,FALSE
"11-2021.00",43232702,FALSE,FALSE
"11-2021.00",43232304,TRUE,FALSE
"11-2021.00",43232104,FALSE,FALSE
"11-2021.00",43232408,FALSE,FALSE
"11-2021.00",43232403,TRUE,FALSE
"11-2021.00",43232107,TRUE,FALSE
"11-2021.00",43232404,TRUE,FALSE
"11-2021.00",43232306,FALSE,FALSE
"11-2021.00",43232103,FALSE,FALSE
"11-2021.00",43231601,FALSE,FALSE
"11-2021.00",43232701,TRUE,FALSE
"11-2021.00",43231514,FALSE,FALSE
"11-2021.00",43232307,TRUE,FALSE
"11-2021.00",43232104,TRUE,FALSE
"11-2021.00",43233513,FALSE,FALSE
"11-2021.00",43233502,FALSE,FALSE
"11-2021.00",43232106,FALSE,FALSE
"11-2021.00",43231514,TRUE,FALSE
"11-2021.00",43232408,TRUE,FALSE
"11-2021.00",43232314,FALSE,FALSE
"11-2021.00",43232902,FALSE,FALSE
"11-2021.00",43232403,FALSE,FALSE
"11-2021.00",43233501,FALSE,FALSE
"11-2021.00",43233701,FALSE,FALSE
"11-2021.00",43232605,TRUE,FALSE
"11-2021.00",43232107,FALSE,FALSE
"11-2021.00",43231601,TRUE,FALSE
"11-2021.00",43232102,FALSE,FALSE
"11-2021.00",43232408,TRUE,FALSE
"11-2021.00",43232405,FALSE,FALSE
"11-2021.00",43232103,FALSE,FALSE
"11-2021.00",43232408,FALSE,FALSE
"11-2021.00",43232309,FALSE,FALSE
"11-2021.00",43232107,FALSE,FALSE
"11-2021.00",43233502,FALSE,FALSE
"11-2021.00",43233503,FALSE,FALSE
"11-2021.00",43232605,FALSE,FALSE
"11-2021.00",43231514,TRUE,FALSE
"11-2021.00",43232303,FALSE,FALSE
"11-2021.00",43233205,FALSE,FALSE
"11-2021.00",43232106,FALSE,FALSE
"11-2021.00",43232306,TRUE,FALSE
"11-2021.00",43232402,TRUE,FALSE
"11-2021.00",43231602,TRUE,FALSE
"11-2021.00",43232110,TRUE,TRUE
"11-2021.00",43231513,TRUE,TRUE
"11-2021.00",43233501,TRUE,FALSE
