"aroma","aroma_id"
"buttery","A1"
"lanoline","A2"
"aromatic","A3"
"barnyardy","A4"
"earthy","A5"
"perfumed","A6"
"pungent","A7"
"nutty","A8"
"floral","A9"
"None","A10"
"fruity","A11"
"fresh","A12"
"herbal","A13"
"mild","A14"
"milky","A15"
"strong","A16"
"sweet","A17"
"rich","A18"
"clean","A19"
"goaty","A20"
"grassy","A21"
"smokey","A22"
"spicy","A23"
"garlicky","A24"
"mushroom","A25"
"lactic","A26"
"pleasant","A27"
"subtle","A28"
"woody","A29"
"fermented","A30"
"yeasty","A31"
"musty","A32"
"pronounced","A33"
"ripe","A34"
"stinky","A35"
"toasty","A36"
"pecan","A37"
"whiskey","A38"
"raw nut","A39"
"caramel","A40"
