"country","country_id"
"Switzerland","C1"
"France","C2"
"England","C3"
"Great Britain","C4"
"United Kingdom","C5"
"Czech Republic","C6"
"United States","C7"
"Italy","C8"
"Cyprus","C9"
"Egypt","C10"
"Israel","C11"
"Jordan","C12"
"Lebanon","C13"
"Middle East","C14"
"Syria","C15"
"Sweden","C16"
"Canada","C17"
"Spain","C18"
"Netherlands","C19"
"Scotland","C20"
"New Zealand","C21"
"Germany","C22"
"Australia","C23"
"Austria","C24"
"Portugal","C25"
"India","C26"
"Mexico","C27"
"Greece","C28"
"Ireland","C29"
"None","C30"
"Armenia","C31"
"Finland","C32"
"Iceland","C33"
"Hungary","C34"
"Belgium","C35"
"Denmark","C36"
"Turkey","C37"
"Wales","C38"
"Norway","C39"
"Poland","C40"
"Slovakia","C41"
"Romania","C42"
"Mongolia","C43"
"Brazil","C44"
"Mauritania","C45"
"Bulgaria","C46"
"China","C47"
"Nepal","C48"
"Tibet","C49"
"Mexico and Caribbean","C50"
"Croatia","C51"
"Lithuania","C52"
"Serbia","C53"
"Iraq","C54"
"Holland","C55"
"Bangladesh","C56"
"Chile","C57"
"Argentina","C58"
"Afghanistan","C59"
"Albania","C60"
"Macedonia","C61"
"Georgia","C62"
