"country","emissions"
"Afghanistan",7104257.6265
"Africa",989926790.185
"Albania",2115319.7171
"Algeria",33908651.0371
"American Samoa",-5304.31850000001
"Americas",2302331344.7462
"Andorra",79905.5279999999
"Angola",35597186.4920999
"Anguilla",20684.4214
"Annex I countries",2802769700.3463
"Antigua and Barbuda",89760.4914999999
"Argentina",108296823.2677
"Armenia",1669628.1656
"Aruba",281008.2993
"Asia",3857366127.3901
"Australia",139003136.7399
"Australia and New Zealand",149666158.0698
"Austria",14885278.0961
"Azerbaijan",9301699.50090001
"Bahamas",416801.6863
"Bahrain",7104974.58269999
"Bangladesh",51976061.1965
"Barbados",265613.4332
"Belarus",24700445.4842
"Belgium",22834835.1954
"Belize",1662506.7895
"Benin",6164879.87100001
"Bermuda",7696.00640000002
"Bhutan",-270117.0951
"Bolivia (Plurinational State of)",37910201.4477
"Bosnia and Herzegovina",4135094.1303
"Botswana",15860432.0226
"Brazil",621724940.555101
"British Virgin Islands",28165.2023
"Brunei Darussalam",2192697.0803
"Bulgaria",6048904.14360001
"Burkina Faso",11983234.0125
"Burundi",1971078.0861
"C?e d'Ivoire",14157510.8374
"Cabo Verde",135250.6647
"Cambodia",19034581.8200001
"Cameroon",19571523.955
"Canada",172047754.6023
"Caribbean",34054931.9739
"Cayman Islands",4637.02380000003
"Central African Republic",-9431225.7982
"Central America",170722270.7833
"Central Asia",101030880.8073
"Chad",25066686.3055
"Channel Islands",2890.486
"Chile",9251530.0517
"China",1547394392.3451
"China, Hong Kong SAR",7240022.76999999
"China, Macao SAR",301147.159
"China, mainland",1489041825.3391
"China, Taiwan Province of",41674117.7598
"Colombia",65367941.2501001
"Comoros",172277.8918
"Congo",6007427.43690001
"Cook Islands",13802.7627
"Costa Rica",2441912.1756
"Croatia",4453898.0097
"Cuba",8251643.86120001
"Cyprus",1374169.4935
"Czechia",20216182.6259
"Democratic People's Republic of Korea",13511196.7989
"Democratic Republic of the Congo",215759539.9272
"Denmark",13394753.9909
"Djibouti",401571.375499999
"Dominica",38559.1695999999
"Dominican Republic",7059929.385
"Eastern Africa",241818302.0433
"Eastern Asia",1858594630.183
"Eastern Europe",483722238.7467
"Ecuador",21841667.2141
"Egypt",52313794.0207
"El Salvador",2940320.37120001
"Equatorial Guinea",3550601.5647
"Eritrea",2075092.1982
"Estonia",4640855.8313
