"npdes_id","facility_id","application_id","applicant","applicant_id","permit_type","status","date_received","upa_class","seqr_class","seqr_determination","lead_agency","coastal_zone_status","final_disposition","permit_effective_date","permit_expration_date","dec_contact","shpa_status","enivronmental_justice"
"NY0000044",574,"3-3724-00045/00004","WATCHTOWER BIBLE AND TRACT SOCIETY OF NEW YORK INC",158,"P/C/I SPDES - Surface Discharge","Issued",2024-02-16,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-09-01 04:00:00,2029-08-31 04:00:00,"KATHERINE M MURRAY",NA,NA
"NY0000078",706,"8-5436-00007/00014","GARLOCK SEALING TECHNOLOGIES LLC",593,"Industrial SPDES - Surface Discharge","SAPA Extended",2021-02-03,"MAJOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-07-01 04:00:00,2023-08-31 04:00:00,"GUILLERMO R SAAR",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0000167",1906,"8-2499-00039/00002","RETSOF REALTY LLC",1571,"Industrial SPDES - Surface Discharge","Issued",2021-04-15,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-01-01 05:00:00,2026-12-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0000247",1556,"3-5518-00680/00001","CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",914,"Industrial SPDES - Surface Discharge","Suspended Indefinitely",2024-04-22,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"KATHERINE M MURRAY",NA,NA
"NY0000281",539,"9-1464-00117/00013","LINDE INC",455,"Industrial SPDES - Surface Discharge","Issued",2021-04-29,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-01-11 05:00:00,2026-12-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0000311",1420,"8-3224-00108/00031","PACTIV LLC",1186,"Industrial SPDES - Surface Discharge","Issued",2021-08-02,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-03-01 05:00:00,2027-02-28 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0000400",526,"9-1446-00007/00001","THERMO FISHER SCIENTIFIC INC.",445,"Industrial SPDES - Surface Discharge","Issued",2021-04-14,"MAJOR","Unlisted Action","Negative Declaration","None Designated","This project is not located in a Coastal Management area.","Issued",2022-11-01 04:00:00,2027-10-31 04:00:00,"LISA M CZECHOWICZ",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0000418",556,"9-5632-00007/00002","MORTON SALT INC",470,"Industrial SPDES - Surface Discharge","Issued",2021-02-03,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-08-01 04:00:00,2026-07-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0000442",620,"8-2632-00042/00008","DOLOMITE PRODUCTS COMPANY INC.",6,"Industrial SPDES - Surface Discharge","Issued",2020-03-20,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-02-01 05:00:00,2026-01-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0000469",553,"9-2940-00001/00032","Textron Inc",467,"Industrial SPDES - Surface Discharge","Issued",2021-08-02,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-06-01 04:00:00,2027-05-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
