"action_id","facility","facility_id","npdes_id","application_id","applicant","application_type","date_received","status","short_description","enb_publication_date","written_comments_due","dup_flag","transfer_flag"
"NY0101915_2022-10-05","B O C E S",1,"NY0101915","3-1332-00172/00001","DUTCHESS BOCES","Renewal Treat as New",2022-10-05,"Issued","spdes fast track renewal for ny0101915",2023-02-15 05:00:00,2023-03-17 04:00:00,FALSE,FALSE
"NYR10L635_2023-03-24","NYC EDC-SOUTH BROOKLYN MARINE TERMINAL",2,"NYR10L635","2-6102-00120/00032","NYC ECONOMIC DEVELOPMENT CORP","New",2023-03-24,"Issued","spdes application for substation test pits and construction",2024-03-20 04:00:00,2024-04-19 04:00:00,FALSE,FALSE
"NY0313149_2023-03-24","NYC EDC-SOUTH BROOKLYN MARINE TERMINAL",2,"NY0313149","2-6102-00120/00032","NYC ECONOMIC DEVELOPMENT CORP","New",2023-03-24,"Issued","spdes application for substation test pits and construction",2024-03-20 04:00:00,2024-04-19 04:00:00,FALSE,FALSE
"NY0035441_2021-06-30","CHAUTAUQUA FISH HATCHERY",3,"NY0035441","9-0628-00098/00004","NYS Dept of Environmental Conservation","New",2021-06-30,"Issued","reduce conc. limit of formalin & change in phos. loading limit",2021-09-29 04:00:00,2021-10-29 04:00:00,FALSE,FALSE
"NY0071897_2021-03-30","EFFRON FUEL OIL CORP TERMINAL",4,"NY0071897","3-1313-00015/00002","PETRO INC","Minor Modification",2021-03-30,"Expired","transfer",NA,NA,FALSE,TRUE
"NY0071897_2022-09-08","EFFRON FUEL OIL CORP TERMINAL",4,"NY0071897","3-1313-00015/00002","PETRO INC","Renewal Treat as New",2022-09-08,"Issued","spdes fast track renewal for ny 0071897",2022-11-02 04:00:00,2022-12-02 05:00:00,FALSE,FALSE
"NY0026255_2020-10-21","POUGHKEEPSIE STP",5,"NY0026255","3-1346-00364/00003","CITY OF POUGHKEEPSIE","Renewal Treat as New",2020-10-21,"Expired","spdes renewal and full technical review for # ny0026255",2023-09-20 04:00:00,2023-10-20 04:00:00,FALSE,FALSE
"NYR00E083_2020-01-15","AMENIA S & G-LEEDSVILLE PROCESSING PLANT",6,"NYR00E083","3-1320-00002/00016","DOLOMITE PRODUCTS COMPANY INC.","Renewal Treat as New",2020-01-15,"Completeness Determination Due","spdes fast track renewal for # ny0008265",NA,NA,FALSE,FALSE
"NY0008265_2020-01-15","AMENIA S & G-LEEDSVILLE PROCESSING PLANT",6,"NY0008265","3-1320-00002/00016","DOLOMITE PRODUCTS COMPANY INC.","Renewal Treat as New",2020-01-15,"Completeness Determination Due","spdes fast track renewal for # ny0008265",NA,NA,FALSE,FALSE
"NY0098868_2021-06-10","TACONIC DDSO",7,"NY0098868","3-1320-00020/00002","NYS OFFICE FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES","Renewal Treat as New",2021-06-10,"Issued","reauthorization of lapsed spdes, discont outfall 001",2022-01-26 05:00:00,2022-02-25 05:00:00,FALSE,FALSE
"NY0032158_2022-05-04","DOVER GREENS LLC",8,"NY0032158","3-1326-00023/00007","DOVER GREENS LLC","Renewal Treat as New",2022-05-04,"Issued","spdes fast track renewal for # ny0032158",2022-09-21 04:00:00,2022-10-21 04:00:00,FALSE,FALSE
"NY0066290_2021-03-31","WINGDALE VILLAGE PARK",9,"NY0066290","3-1326-00043/00002","WINGDALE VILLAGE PARK MANUFACTURED HOUSING INC","Renewal Treat as New",2021-03-31,"Issued","spdes fast track renewal for # ny0066290",2021-04-28 04:00:00,2021-05-28 04:00:00,FALSE,FALSE
