"facility_id","facility","location","town_or_city"
1,"B O C E S","578 SALT POINT TURNPIKE HYDE PARK 12538","HYDE PARK"
2,"NYC EDC-SOUTH BROOKLYN MARINE TERMINAL","Sunset Park and Greenwood Heights  29th to 39th St|2nd Ave To Ny Harbor Brooklyn (6102) 11232","BROOKLYN"
3,"CHAUTAUQUA FISH HATCHERY","5875 PRENDERGAST RD MAYVILLE 14757","CHAUTAUQUA"
4,"EFFRON FUEL OIL CORP TERMINAL","FOOT OF PROSPECT ST POUGHKEEPSIE 12602","POUGHKEEPSIE"
5,"POUGHKEEPSIE STP","173 KITTREDGE PL POUGHKEEPSIE 12601","POUGHKEEPSIE"
6,"AMENIA S & G-LEEDSVILLE PROCESSING PLANT","307 LEEDSVILLE RD AMENIA 12501","AMENIA"
7,"TACONIC DDSO","26 CENTER CIR WASSAIC 12592","AMENIA"
8,"DOVER GREENS LLC","ST RTE 22 AT WHEELER RD WINGDALE 12594","DOVER"
9,"WINGDALE VILLAGE PARK","RT 22 AT SASSO RD WINGDALE 12594","DOVER"
10,"PACKAGE PAVEMENT CO","3530 RTE 52 STORMVILLE 12582","EAST FISHKILL"
11,"VILLAGE OF FISHKILL STP","4 JACKSON ST FISHKILL 12524","FISHKILL"
12,"ROMBOUT STP","75 INDUSTRIAL WAY FISHKILL 12524","FISHKILL"
13,"BEACON TECHNOLOGY CENTER","45 OLD GLENHAM RD BEACON 12508","FISHKILL"
14,"VETERANS ADMIN MED CENTER @ CASTLE POINT","41 CASTLE POINT RD WAPPINGERS FALLS 12590","FISHKILL"
15,"ANDERSON SCHOOL","4885 RTE 9 STAATSBURG 12580","HYDE PARK"
16,"HIDDEN BROOK ESTATES CO-OP CORP","2 HIDDEN BROOK DR #116 HYDE PARK 12538","HYDE PARK"
17,"HYDE PARK GREENFIELDS SEWER DIST","GREENFIELDS SEWER DIST HYDE PARK 12538","HYDE PARK"
18,"RENAISSANCE REHABILITATION STP","4975 ALBANY POST RD STAATSBURG 12580","HYDE PARK"
