"year","emissions"
"2000",2143119366.78
"2001",2109760240.45819
"2002",2180860383.0337
"2003",2220985897.3616
"2004",2321819994.3635
"2005",2348671375.5964
"2006",2421011445.7503
"2007",2428782054.0644
"2008",2463686672.6956
"2009",2468939225.02401
"2010",2511864949.8507
"2011",2523633555.5041
"2012",2558572795.4336
"2013",2576071614.5713
"2014",2618685489.18989
"2015",2639203454.82479
"2016",2636367158.20919
"2017",2665248135.4776
"2018",2712258357.87158
"2019",2741323659.11299
"2020",2648131930.46301
